833180069 814981831 114.49 230 1542787293
833180069 882712483 114.49 670 1542787295
942546962 882712483 114.21 130 1542787295
311003717 689309520 114.53 570 1542787298
377221250 117538539 114.76 540 1542787300
311003717 117538539 114.72 170 1542787300
311003717 228490301 114.72 310 1542787301
158056251 100012533 114.53 270 1542787303
158056251 890062362 114.53 460 1542787306
850796749 301582394 114.65 260 1542787307
655127707 301582394 114.65 290 1542787310
293936736 301582394 114.65 140 1542787311
158056251 981667337 114.53 160 1542787312
134931870 981667337 114.22 620 1542787312
134931870 271070560 114.22 230 1542787313
942546962 271070560 114.21 410 1542787313
942546962 518617701 114.21 130 1542787314
980387822 518617701 114.11 290 1542787314
387349441 518617701 114.06 80 1542787315
387349441 771025149 114.39 50 1542787316
766309281 771025149 114.02 220 1542787316
Market Inbalance - Ask order ID: 771025149 Volume : 770 - unmatched
797746445 867303244 114.23 100 1542787321
Market Inbalance - Bid order ID: 797746445 Volume : 360 - unmatched
797746445 283791838 114.5 360 1542787321
309366359 283791838 114.5 160 1542787322
309366359 301582394 114.65 170 1542787322
874391614 301582394 114.65 50 1542787325
874391614 228490301 114.71 220 1542787325
284331660 285603219 114.13 590 1542787326
Market Inbalance - Ask order ID: 285603219 Volume : 10 - unmatched
323192207 228490301 114.71 480 1542787328
323192207 127218941 114.72 430 1542787328
384111426 127218941 114.72 410 1542787330
384111426 899299952 114.84 290 1542787330
603054539 899299952 114.84 720 1542787331
603054539 255055543 114.85 10 1542787331
579048953 174888353 114.43 420 1542787332
581802979 174888353 114.01 230 1542787332
581802979 873038224 114.01 180 1542787333
Market Inbalance - Ask order ID: 873038224 Volume : 750 - unmatched
838597619 255055543 114.85 300 1542787334
374512008 255055543 114.85 280 1542787335
Market Inbalance - Bid order ID: 374512008 Volume : 260 - unmatched
374512008 724999496 114.89 260 1542787335
